day,km,up_m,down_m,net_m
1,11,212,266,-54
2,17,66,93,-27
3,12,50,24,26
4,24,519,529,-10
5,21,513,417,96
6,15,477,311,166
7,12,229,299,-70
8,20,338,236,102
9,18,430,481,-51
10,12,229,665,-436
11,22,376,287,89
12,18,285,373,-88
13,19,192,249,-57
14,19,316,307,9
15,18,183,319,-136
16,17,108,95,13
17,13,80,147,-67
18,16,398,96,302
19,19,69,86,-17
20,17,247,391,-144
21,20,549,214,335
22,21,419,677,-258
23,23,84,351,-267
24,11,276,260,16
25,21,146,45,101
26,22,235,108,127
27,21,362,291,71
28,19,361,435,-74
29,23,551,377,174
30,17,278,374,-96
31,23,528,573,-45
32,27,1163,941,222
33,20,528,715,-187
34,44,1097,886,211
35,7,140,148,-8
36,12,222,317,-95
37,19,161,132,29
38,11,159,213,-54
39,21,60,336,-276
40,10,75,14,61
41,23,566,300,266
42,19,126,407,-281
43,45,769,664,105
44,0,0,0,0
45,22,292,199,93
46,22,233,280,-47
47,24,446,756,-310
48,15,151,35,116
49,20,200,83,117
50,24,493,115,378
51,12,106,236,-130
52,17,152,146,6
53,11,62,195,-133
54,26,78,296,-218
55,0,0,0,0
56,22,338,157,181
57,19,412,159,253
58,20,289,356,-67
59,13,365,49,316
60,12,51,332,-281
61,22,117,432,-315
62,13,24,144,-120
63,20,27,92,-65
64,25,767,515,252
65,11,89,176,-87
66,19,544,289,255
67,22,176,592,-416
68,29,643,303,340
69,29,617,576,41
70,13,431,426,5
TOTAL,1301,21275,21388,-113
